epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.46645,1.06502,3.51019,1.50303,0.83333,0.65,0.73917,0.49727,1.39448,1.26786,1.25324,0,0,0
2,4.00303,1.13163,2.78578,1.44031,0.83333,0.65,0.73917,0.50894,1.41541,1.2855,1.25758,1.17822e-06,1.17822e-06,1.17822e-06
3,4.4765,1.01848,2.1248,1.26477,0.63446,0.56667,0.604,0.45179,1.4269,1.31505,1.26359,2.33288e-06,2.33288e-06,2.33288e-06
4,4.92322,1.05244,2.95726,1.39907,0.63333,0.56667,0.604,0.45179,1.44713,1.3483,1.26928,3.46397e-06,3.46397e-06,3.46397e-06
5,5.35853,1.31361,2.37459,1.63811,0.63333,0.56667,0.604,0.43806,1.47254,1.40299,1.2884,4.5715e-06,4.5715e-06,4.5715e-06
6,5.84687,0.7862,2.34048,1.16178,0.63333,0.56667,0.604,0.43806,1.49319,1.47579,1.30299,5.65548e-06,5.65548e-06,5.65548e-06
7,6.33698,1.35649,3.57856,1.65961,0.46667,0.4,0.43483,0.35054,1.50933,1.53744,1.31721,6.71588e-06,6.71588e-06,6.71588e-06
8,6.83164,1.22232,3.8051,1.62517,0.46667,0.4,0.43483,0.33396,1.52015,1.64485,1.32984,7.75273e-06,7.75273e-06,7.75273e-06
9,7.32602,0.82874,2.64197,1.26825,0.5,0.38333,0.44,0.33918,1.5386,1.67034,1.34851,8.76602e-06,8.76602e-06,8.76602e-06
10,7.82358,0.98866,2.22813,1.3151,0.5,0.38333,0.44,0.34539,1.52997,1.7006,1.34317,9.75574e-06,9.75574e-06,9.75574e-06
11,8.31854,1.29798,2.63183,1.59515,0.5,0.38333,0.44,0.34539,1.51668,1.69886,1.33917,1.07219e-05,1.07219e-05,1.07219e-05
12,8.84868,0.97752,2.34125,1.31553,0.5,0.38333,0.44,0.34539,1.51015,1.7209,1.33388,1.16645e-05,1.16645e-05,1.16645e-05
13,9.34083,1.38947,3.01079,1.71918,0.5,0.38333,0.44,0.34539,1.51893,1.77928,1.33866,1.25835e-05,1.25835e-05,1.25835e-05
14,9.83598,1.02894,2.29872,1.49038,0.5,0.38333,0.44,0.34539,1.5221,1.83358,1.3416,1.3479e-05,1.3479e-05,1.3479e-05
15,10.3482,1.37825,2.83934,1.62072,0.5,0.38333,0.44,0.34539,1.50922,1.86725,1.33972,1.43509e-05,1.43509e-05,1.43509e-05
16,10.8446,1.21424,1.85763,1.48248,0.5,0.38333,0.44,0.32881,1.51861,1.88276,1.3437,1.51993e-05,1.51993e-05,1.51993e-05
17,11.3408,0.97503,1.60271,1.31539,0.5,0.38333,0.44,0.32658,1.53494,1.91626,1.35451,1.60241e-05,1.60241e-05,1.60241e-05
18,11.8201,0.66635,1.32341,1.01883,0.5,0.38333,0.44,0.32658,1.53494,1.91626,1.35451,1.68253e-05,1.68253e-05,1.68253e-05
19,12.3082,0.74971,1.64268,1.06085,0.5,0.38333,0.44,0.32881,1.54833,1.98078,1.36259,1.7603e-05,1.7603e-05,1.7603e-05
20,12.7925,1.10874,1.75843,1.34994,0.5,0.38333,0.44,0.32881,1.54833,1.98078,1.36259,1.83571e-05,1.83571e-05,1.83571e-05
21,13.2839,0.79517,1.78721,1.22378,0.5,0.38333,0.44,0.32915,1.59601,2.08435,1.40484,1.90876e-05,1.90876e-05,1.90876e-05
22,13.7675,0.98628,1.74371,1.20659,0.5,0.38333,0.44,0.32915,1.59601,2.08435,1.40484,1.97946e-05,1.97946e-05,1.97946e-05
23,14.2591,0.93859,1.72369,1.388,0.5,0.38333,0.44,0.31843,1.6014,2.11204,1.41358,2.0478e-05,2.0478e-05,2.0478e-05
